tag3,artist,tag2,tag1,playcount,similar1,similar2,similar3,listener_count
instrumental,Boi-1da,hip hop,Hip-Hop,1278,Just Blaze,Willie the Kid,Cool & Dre,114
Hip-Hop,Boldy James,rap,detroit,154940,Freddie Gibbs,Smoke DZA,Dom Kennedy,10541
Crunk,Bone Crusher,Hip-Hop,rap,250568,Lil' Flip,Petey Pablo,Lil Scrappy,54619
rap francais,Booba,rap,french rap,2756063,Kaaris,Rohff,Gradur,70079
rap,Boondox,juggalo,Horrorcore,885255,Twiztid,Blaze Ya Dead Homie,Dark Lotus,93294
All,Boosie Badazz,Hip-Hop,rap,193321,Webbie,Yo Gotti,Kevin Gates,16529
detroit,Boss,Hip-Hop,rap,81492,MC Lyte,The Lady of Rage,Da Brat,15181
NA,NA,NA,NA,NA,NA,NA,NA,NA
underground hip-hop,Braille,rap,Hip-Hop,775098,Theory Hazit,Beautiful Eulogy,Common Market,62931
chicago,BrandUn Deshay,hip hop,rap,88904,H.O.P.E.,Fly Union,TiRon,9396
pop,Brianna Perry,hip hop,Hip-Hop,22470,Nyemiah Supreme,Lola Monroe,Brianna,2388
rap,Brisco,Dirty South,Hip-Hop,608359,Playaz Circle,Blood Raw,Triple C's,245275
Hip-Hop,Brotha Lynch Hung,Gangsta Rap,Horrorcore,2046687,Twisted Insane,Tech N9ne,Esham,190646
seen live,Brother Ali,underground hip-hop,Hip-Hop,5388124,Atmosphere,Grieves,Eyedea & Abilities,246569
trap,Bryson Tiller,Hip-Hop,rnb,1902334,PARTYNEXTDOOR,Tory Lanez,Roy Woods,122565
Dirty South,Bubba Sparxxx,rap,Hip-Hop,1971211,Ying Yang Twins,Petey Pablo,Nappy Roots,237336
boot camp clik,Buckshot,underground hip-hop,Hip-Hop,143711,Boot Camp Clik,Smif-n-Wessun,Black Moon,22072
producer,Buckwild,Hip-Hop,DITC,30274,Show & A.G.,A.G.,Ill Biskits,2146
new york,Bumpy Knuckles,Hip-Hop,rap,73701,Just-Ice feat. Big Daddy Kane,Smooth B,DJ Premier & Bumpy Knuckles,8772
rap,Bun B,Hip-Hop,Dirty South,3232191,Pimp C,Slim Thug,Z-Ro,488017
seen live,Busdriver,underground hip-hop,Hip-Hop,2976388,Milo,Open Mike Eagle,scallops hotel,151906
geto boys,Bushwick Bill,Gangsta Rap,Hip-Hop,113659,MC Ren,Geto Boys,Celly Cel,21386
hip hop,Busta Rhymes,rap,Hip-Hop,14485450,Redman,Xzibit,Method Man,1286831
NA,NA,NA,NA,NA,NA,NA,NA,NA
rap,Butch Cassidy,Hip-Hop,hip hop,17832,Bad Azz,E-White,Goldie Loc,3095
hip hop,Common,rap,Hip-Hop,22786922,The Roots,Lupe Fiasco,Reflection Eternal,1292012
Hip-Hop,C-Bo,rap,Gangsta Rap,366845,Celly Cel,Spice 1,B-Legit,62457
Dirty South,C-Murder,rap,Hip-Hop,361079,Silkk The Shocker,Master P,TRU,74670
Hip-Hop,C-Note,rap,southern rap,25542,H.A.W.K.,Big Pokey,Lil' O,6194
rap,C-Rayz Walz,underground hip-hop,Hip-Hop,573541,Pep Love,Mr. Lif,Murs,60296
Power metal,Cage,heavy metal,Hip-Hop,3788448,Camu Tao,El-P,Aesop Rock,145722
Dipset,Cam'ron,rap,Hip-Hop,6272290,The Diplomats,Juelz Santana,Jim Jones,739249
underground hip-hop,Canibus,rap,Hip-Hop,1693916,Ras Kass,Killah Priest,Chino XL,135094
rap,Capital STEEZ,underground hip-hop,Hip-Hop,416689,Pro Era,CJ FLY,Joey Bada$$,10966
Hip-Hop,Capone,rap,Drum and bass,248505,Sly Boogy,Dillinja,Total Science,46498
rap,Cappadonna,wu-tang,Hip-Hop,704089,U-God,Masta Killa,Inspectah Deck,96206
rap,Casey Veggies,ofwgkta,Hip-Hop,1072958,Dom Kennedy,Curren$y,Sir Michael Rocks,108191
Hip-Hop,Cash Out,detroit,detroit rap,59087,Rich Kidz,Tity Boi,"French Montana, Juicy J & Project Pat",11527
NA,NA,NA,NA,NA,NA,NA,NA,NA
juggalo,Caskey,rap,Hip-Hop,51570,Kevin Gates,French Montana,K Camp,2856
NA,NA,NA,NA,NA,NA,NA,NA,NA
east coast rap,Cassidy,rap,Hip-Hop,2342077,Fabolous,Jadakiss,Juelz Santana,462480
House,Cazwell,rap,dance,400820,RuPaul,The Young Professionals,Manila Luzon,27327
Hip-Hop,CeeLo Green,funk,soul,11254965,Gnarls Barkley,Aloe Blacc,Robin Thicke,854149
Hip-Hop,Cellski,Bay Area,rap,79253,Guce,Dubee,11/5,18001
rap,Celly Cel,G-funk,Bay Area,311433,C-Bo,B-Legit,Spice 1,62438
rap,Celph Titled,underground hip-hop,Hip-Hop,1228010,Apathy,Vinnie Paz,Celph Titled & Buckwild,75178
underground hip-hop,Cesar Comanche,hip hop,Hip-Hop,106083,L.E.G.A.C.Y.,Edgar Allen Floe,The Away Team,14384
turkish,Ceza,Turkish Rap,rap,680090,Sagopa Kajmer,Sansar Salvo,Mode XL,47168
Dirty South,Chamillionaire,Hip-Hop,rap,9540486,Slim Thug,Paul Wall,Stevie Stone,916792
hip hop,Chance the Rapper,rap,Hip-Hop,10941855,Donnie Trumpet & The Social Experiment,Kanye West,Vic Mensa,240833
r&b,Chanel West Coast,Hip-Hop,pop,99093,Lil Debbie,Honey Cocaine,Brooke Candy,6850
solo,Channel 7,jazz,seen live,3630,Harry-O,Andi Vax & Dj Romantic & Erik,Apples Montgomery,459
swedish,Charizma,Hip-Hop,hard rock,113677,Peanut Butter Wolf,Edan,Pete Rock,16085
new york,Charles Hamilton,rap,Hip-Hop,2203165,Mickey Factz,Blu,XV,298181
hip hop,Charli Baltimore,rap,Hip-Hop,69690,Jacki-O,Ms. Jade,Amil,18116
seen live,Chevy Woods,rap,Hip-Hop,256421,Wiz Khalifa,Juicy J,Tyga,15892
underground hip-hop,Chi Ali,hip hop,Hip-Hop,7002,Cookie Crew,Truck Turner,Heather B.,1834
electronic,Chiddy Bang,rap,Hip-Hop,9223879,Hoodie Allen,Sammy Adams,B.o.B,750905
drill,Chief Keef,rap,Hip-Hop,4764778,Fredo Santana,Lil Reese,Lil Durk,214201
seen live,Childish Gambino,rap,Hip-Hop,35103086,Kendrick Lamar,Chance the Rapper,J. Cole,635761
hip hop,Chill Rob G,rap,Hip-Hop,23022,Latee,K-Solo,Super Lover Cee & Casanova Rud,5240
NA,NA,NA,NA,NA,NA,NA,NA,NA
texas,Chingo Bling,Hip-Hop,rap,190568,South Park Mexican,MC MAGIC,Big Tuck,40870
hip hop,Chino XL,rap,Hip-Hop,522577,Ras Kass,Canibus,Copywrite,46178
hip hop,Chinx,rap,Hip-Hop,104526,French Montana,K Camp,Vado,16154
UK,Chip,rap,Grime,130712,Yungen,Bugzy Malone,Ghetts,16814
acid house,Choice,Acid,techno,33574,Steve Poindexter,Larry Heard Presents Mr. White,Ecstasy Club,8526
american,Choppa,USA,choppa,14070,Amaryoni,Shaluza Max,Baby Boy Da Prince,3708
Chris Brown,Chris Brown,Hip-Hop,rnb,43631958,Chris Brown & Tyga,Trey Songz,August Alsina,2502690
underground hip-hop,Chris Webby,rap,Hip-Hop,1001004,Jarren Benton,Futuristic,Mike Stud,66492
seen live,Christopher Martin,dancehall,reggae,129584,Romain Virgo,Tarrus Riley,Busy Signal,23750
NA,NA,NA,NA,NA,NA,NA,NA,NA
rap,Chubb Rock,old school,Hip-Hop,240670,Biz Markie,Big Daddy Kane,Nice & Smooth,58775
underground hip-hop,CJ FLY,rap,Hip-Hop,111284,Pro Era,Capital STEEZ,Nyck Caution,7075
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
rap,Classified,Canadian,Hip-Hop,2068185,Bliss n Eso,Sweatshop Union,Common Market,141748
Mixtape DJ,Clinton Sparks,rap,Hip-Hop,290640,Jump Smokers,DJ Kay Slay,Re-Up Gang,36432
hip hop,Clyde Carson,Bay Area,rap,349192,Problem,Iamsu!,Philthy Rich,71009
Above the Law,COLD 187um,psychopathic,west coast,9242,Big Hutch,Legz Diamond & the Purple Gang,Daddy V,699
NA,NA,NA,NA,NA,NA,NA,NA,NA
rap,Consequence,Drum and bass,Hip-Hop,1515921,Instra:mental,D-Bridge,ASC,299870
Atlanta Underground,Cool Breeze,Hip-Hop,dungeon family,62363,Witchdoctor,Big Gipp,Slimm Calhoun,15149
old school,Cool C,rap,Hip-Hop,13614,Three Times Dope,Steady B,Super Lover Cee & Casanova Rud,3901
hip hop,Coolio,Hip-Hop,rap,4587234,Luniz,Naughty By Nature,Kris Kross,791907
rap,Copywrite,underground hip-hop,Hip-Hop,642817,Chino XL,Apathy,louis logic,64251
east coast rap,Cormega,rap,Hip-Hop,1700199,AZ,Capone-N-Noreaga,O.C.,154094
