tag3,artist,tag2,tag1,playcount,similar1,similar2,similar3,listener_count
underground hip-hop,Braille,rap,Hip-Hop,775275,Theory Hazit,Beautiful Eulogy,Common Market,62950
chicago,BrandUn Deshay,hip hop,rap,88968,H.O.P.E.,Fly Union,TiRon,9407
pop,Brianna Perry,hip hop,Hip-Hop,22485,Nyemiah Supreme,Lola Monroe,Brianna,2391
rap,Brisco,Dirty South,Hip-Hop,608370,Playaz Circle,Blood Raw,Triple C's,245278
Hip-Hop,Brotha Lynch Hung,Gangsta Rap,Horrorcore,2047619,Twisted Insane,Tech N9ne,Esham,190708
seen live,Brother Ali,underground hip-hop,Hip-Hop,5391865,Atmosphere,Grieves,Murs,246820
trap,Bryson Tiller,Hip-Hop,rnb,1918076,PARTYNEXTDOOR,Tory Lanez,Roy Woods,123552
Dirty South,Bubba Sparxxx,rap,Hip-Hop,1971982,Ying Yang Twins,Nappy Roots,Petey Pablo,237454
boot camp clik,Buckshot,underground hip-hop,Hip-Hop,143886,Boot Camp Clik,Heltah Skeltah,Black Moon,22090
producer,Buckwild,Hip-Hop,DITC,30326,Show & A.G.,A.G.,Ill Biskits,2147
new york,Bumpy Knuckles,Hip-Hop,rap,73790,Freddie Foxxx,Just-Ice feat. Big Daddy Kane,Smooth B,8774
rap,Bun B,Hip-Hop,Dirty South,3232872,Pimp C,Paul Wall,Z-Ro,488074
seen live,Busdriver,underground hip-hop,Hip-Hop,2980506,Open Mike Eagle,Milo,scallops hotel,152194
geto boys,Bushwick Bill,Gangsta Rap,Hip-Hop,113739,MC Ren,Geto Boys,Celly Cel,21396
hip hop,Busta Rhymes,rap,Hip-Hop,14496043,Redman,Xzibit,Method Man,1287574
NA,NA,NA,NA,NA,NA,NA,NA,NA
rap,Butch Cassidy,Hip-Hop,hip hop,17835,E-White,Bad Azz,Goldie Loc,3096
hip hop,Common,rap,Hip-Hop,22799879,The Roots,Lupe Fiasco,A Tribe Called Quest,1292574
Hip-Hop,C-Bo,rap,Gangsta Rap,366970,Celly Cel,Spice 1,B-Legit,62474
Dirty South,C-Murder,rap,Hip-Hop,361433,Silkk The Shocker,Master P,TRU,74702
Hip-Hop,C-Note,rap,southern rap,25617,H.A.W.K.,Big Pokey,Lil' O,6218
rap,C-Rayz Walz,underground hip-hop,Hip-Hop,578278,Mr. Lif,Murs,Homeboy Sandman,60301
Power metal,Cage,heavy metal,Hip-Hop,3790123,El-P,Aesop Rock,Camu Tao,145758
Dipset,Cam'ron,rap,Hip-Hop,6276644,The Diplomats,Juelz Santana,Clipse,739638
underground hip-hop,Canibus,rap,Hip-Hop,1694428,Ras Kass,Killah Priest,Chino XL,135139
rap,Capital STEEZ,underground hip-hop,Hip-Hop,417156,Pro Era,CJ FLY,Joey Bada$$,10979
Hip-Hop,Capone,rap,Drum and bass,248712,Sly Boogy,Dillinja,Total Science,46527
rap,Cappadonna,wu-tang,Hip-Hop,704414,Inspectah Deck,U-God,Masta Killa,96229
